titulo,streams,daily,es_feature
the lakes - the long pond studio sessions,"20,720,190","7,421",No
Anti-Hero - ILLENIUM Remix,"20,569,710","7,079",No
"Beautiful Ghosts - From The Motion Picture Soundtrack ""Cats""","20,209,920","3,689",No
Fortnight (feat. Post Malone) - Acoustic Version,"19,759,364","16,519",No
willow - lonely witch version,"19,514,003","5,981",No
irch,"19,247,037","10,900",Si
Red - Original Demo Recording,"19,050,067","2,645",No
Come In With The Rain,"18,989,965","3,796",No
Lavender Haze - Snakehips Remix,"18,426,022","7,931",No
You Need To Calm Down - Clean Bandit Remix,"18,296,146","2,913",No
the last great american dynasty - the long pond studio sessions,"18,149,948","6,143",No
Treacherous - Original Demo Recording,"17,877,709","2,506",No
The Other Side Of The Door,"17,704,703","5,301",No
seven - the long pond studio sessions,"17,661,911","5,805",No
The Fate of Ophelia - Loud Luxury Remix,"17,072,916","120,229",No
invisible string - the long pond studio sessions,"16,983,514","6,313",No
All Too Well (10 Minute Version) (The Short Film),"16,764,148","5,294",No
Santa Baby,"16,735,930","1,001",No
betty - the long pond studio sessions,"16,501,204","5,228",No
Wildest Dreams - R3hab Remix,"16,337,293","12,105",No
hoax - the long pond studio sessions,"16,110,533","5,764",No
willow - 90's trend remix,"15,670,026","2,142",No
SuperStar,"15,637,839","3,379",No
Christmas Tree Farm - Old Timey Version,"15,193,030",769,No
hould've Said No - The 3D Concert Experience,"15,172,540","3,016",Si
The Archer - Live From Paris,"14,995,677","5,610",No
Back To December/Apologize/You're Not Sorry - Live/2011/Medley,"14,566,509","3,464",No
peace - the long pond studio sessions,"14,517,874","5,254",No
Drops Of Jupiter - Live/2011,"14,465,292","3,524",No
Teardrops On My Guitar,"14,425,053","1,554",No
mad woman - the long pond studio sessions,"14,334,367","5,147",No
The Fate of Ophelia - Alone In My Tower Acoustic Version,"14,038,984","52,255",No
Lover - Live From Paris,"13,664,416","4,834",No
epiphany - the long pond studio sessions,"13,225,625","4,822",No
"Carolina - ""Where The Crawdads Sing"" - Video Edition","11,731,600","2,531",No
Christmases When You Were Mine,"11,464,488","1,474",No
Wi$h Li$t - Settled Down Acoustic Version,"11,379,294","62,979",No
Love Story - Digital Dog Remix,"11,325,254","2,174",No
betty - Live from the 2020 Academy of Country Music Awards,"11,238,844","2,254",No
The Fate of Ophelia - The Chainsmokers Remix,"10,830,013","86,799",No
willow - moonlit witch version,"10,567,380","2,400",No
Sparks Fly - Live/2011,"10,178,663","1,774",No
Bette Davis Eyes - Live/2011,"9,828,350","1,935",No
You Need To Calm Down - Live From Paris,"9,769,849","3,066",No
Christmas Must Be Something More,"9,717,479",944,No
ME! - Live From Paris,"9,547,598","3,010",No
Anti-Hero - Jayda G Remix,"9,471,762","1,899",No
Enchanted - Live/2011,"9,030,704","1,971",No
Delicate - Sawyr And Ryan Tedder Mix,"8,591,423","2,101",No
White Christmas,"8,555,813",728,No
Silent Night,"8,134,612","1,102",No
The Story Of Us - Live,"8,049,382","1,587",No
Mine - Live/2011,"7,864,806","1,344",No
I Want You Back - Live/2011,"7,851,869","1,430",No
Mean - Live/2011,"7,835,371","1,322",No
Long Live,"7,726,727","3,901",No
Better Than Revenge - Live/2011,"7,708,349","1,618",No
Dear John - Live/2011,"7,586,577","1,558",No
